WEB STD FIRMID,Survey Year,Screening Region,Industrial sector,Sector Match,Biz Size,Screener Size,Part of Large Firm,Type of Establishment,Ownership Structure,Share Largest Owner,Share Private Dom. Individ,Share Private Forgn Indvid,Share Govt,Share Others,Female member ownership,Female Member Share,Year established,Formally Registered Biz,Year Registered,Mgrs Working Expr,Female Top Mgr,Top Mgr Educ Levl,Top Mangerial Ownership,International Certification,Main Products,First Product ISIC code,Percent of sales of First Product,Percentage of Domestic Input,Percentage of Foreign Inputs,Foreign Technology Used,Product Improvement,Method Improvement,Any new service,Process Improvement,New Organizational structure,New Marketing Method,R&D expendture,Employee New Idea,Capacity Utilization,Sales,sales and service,Output,eqpt expd,Overdraft,Govt Financing,Line of Credit from Bank,Age of Firm,AgeCat Firm,Mgr wkg exp Cat,Geopolitical Zone
589658,2014,Ogun,Food,"Yes, scr",Medium >,Small >=,No,DOES NOT,Sole Proprietorship,,100,0,0,0,No,,1992,DON?T KN,DON?T KN,25,No,NA,No,No,bread,1541,100,70,30,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,100,,,100,0,No,,DON?T KN,31,30 - 49 Years,20 - 29 Years,SW
589633,2014,Ogun,Garments,"Yes, scr",Small >=,Small >=,No,DOES NOT,Sole Proprietorship,,100,0,0,0,No,,2004,No,2000,16,No,Secondary,No,No,native,1810,60,60,40,Yes,Yes,Yes,Yes,No,No,No,No,Yes,50,,,50,DON?T KN,,,No,19,< 10 Years,10 - 20 Years,SW
589650,2014,Ogun,Food,"Yes, scr",Medium >,Medium >,Yes,Establis,Sole Proprietorship,,100,0,0,0,No,,2002,Yes,1992,31,No,No Education,No,No,bread,1541,80,70,30,Yes,No,No,Yes,No,Yes,Yes,No,No,100,,,100,0,No,,No,21,< 10 Years,30 - 49 Years,SW
589655,2014,Ogun,Food,"Yes, scr",Medium >,Small >=,No,DOES NOT,Sole Proprietorship,,100,0,0,0,No,,2004,Yes,1994,26,No,Secondary,No,No,unslice. bread,1541,70,85,15,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,100,,,100,,No,,No,19,< 10 Years,20 - 29 Years,SW
588883,2014,Abia,Wood,"Yes, scr",Small >=,Micro <5,No,DOES NOT,Sole Proprietorship,100,100,0,0,0,No,,1994,No,1995,22,No,Secondary,Yes ? fu,No,wood and furnitures,2029,100,100,0,No,No,No,No,No,No,No,No,No,100,,,0,0,No,,No,29,< 10 Years,20 - 29 Years,SE
588884,2014,Abia,'Furniture',"Yes, scr",Small >=,Micro <5,No,DOES NOT,Sole Proprietorship,100,100,0,0,0,No,,2002,No,2002,12,No,Secondary,Yes ? fu,No,manufacturing OF Furniture,3610,60,100,0,No,No,No,No,No,No,No,No,No,100,,,0,0,No,,No,21,< 10 Years,10 - 20 Years,SE
588885,2014,Abia,Publishings,"No, does",Small >=,Small >=,No,DOES NOT,Sole Proprietorship,100,100,0,0,0,No,,2002,Yes,2002,12,No,Secondary,Yes ? fu,No,printing,2221,60,,,,No,No,No,No,No,No,No,No,,20,5,,0,DON?T KN,No,No,21,< 10 Years,10 - 20 Years,SE
588886,2014,Abia,Non Metal Fabrications,"Yes, scr",Small >=,Small >=,Yes,DOES NOT,Sole Proprietorship,100,100,0,0,0,No,,1995,Yes,1995,19,No,Secondary,Yes ? fu,No,Manufacturing of blocks,2695,100,100,0,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,DON?T KN,,,DON?T KN,0,No,,No,28,< 10 Years,10 - 20 Years,SE
588887,2014,Abia,Metal Fabrications,"No, scre",Micro <5,Small >=,No,DOES NOT,Sole Proprietorship,100,100,0,0,0,No,,2000,No,2012,17,No,Secondary,Yes ? fu,No,"manufacturing of window protectors,doors,overhead tanks",2812,100,DON?T KN,DON?T KN,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,DON?T KN,,,DON?T KN,100,DON?T KN,,No,23,< 10 Years,10 - 20 Years,SE
588888,2014,Abia,Non Metal Fabrications,"Yes, scr",Small >=,Small >=,No,Establis,Sole Proprietorship,100,100,0,0,0,No,,1974,No,1976,40,No,Graduate,Yes ? fu,No,"Cement, Sand and Water",2694,100,DON?T KN,DON?T KN,No,No,No,No,No,No,No,No,No,DON?T KN,,,DON?T KN,0,DON?T KN,,No,49,30 - 49 Years,30 - 49 Years,SE
588893,2014,Abia,Garments,"Yes, scr",Small >=,Small >=,No,DOES NOT,Sole Proprietorship,100,100,0,0,0,No,,1984,No,1986,33,No,Primary,Yes ? fu,No,"sowing, selling of clothes bags and also selling of sowing materials",1810,100,100,0,No,No,No,No,No,No,Yes,No,Yes,100,,,100,20,DON?T KN,,No,39,30 - 49 Years,30 - 49 Years,SE
588895,2014,Sokoto,Food,"Yes, scr",Medium >,Small >=,No,HQ with,Sole Proprietorship,,100,0,0,0,No,,2003,Yes,2003,10,No,Graduate,Yes ? fu,No,FOODS,1549,100,100,0,No,No,No,No,Yes,Yes,Yes,No,Yes,30,,,30,,,,No,20,< 10 Years,10 - 20 Years,NW
588898,2014,Abuja,Garments,"Yes, scr",Small >=,Small >=,Yes,DOES NOT,Sole Proprietorship,100,100,0,0,0,No,,1993,No,1999,21,No,Secondary,Yes ? fu,No,production of garments,1810,100,100,0,No,No,No,Yes,No,No,No,No,No,DON?T KN,,,DON?T KN,0,DON?T KN,,No,30,30 - 49 Years,20 - 29 Years,NC
588900,2014,Abuja,Retail,"No, does",Small >=,Small >=,No,HQ with,Sole Proprietorship,100,100,0,0,0,No,,1992,No,2006,12,No,Secondary,Yes ? fu,No,Retailing of Mobile Phones with the Accessories.,5233,100,,,,Yes,No,Yes,Yes,Yes,Yes,No,Yes,,100,100,,0,DON?T KN,No,No,31,30 - 49 Years,10 - 20 Years,NC
588904,2014,Sokoto,Food,"Yes, scr",Medium >,Small >=,No,HQ with,Sole Proprietorship,,100,0,0,0,No,,2001,Yes,2001,9,No,Secondary,Yes ? fu,No,PURE WATER,1554,100,100,0,No,Yes,Yes,No,No,No,Yes,No,Yes,DON?T KN,,,DON?T KN,,No,,No,22,< 10 Years,< 10 Years,NW
588905,2014,Sokoto,Food,"Yes, scr",Medium >,Small >=,No,HQ with,Sole Proprietorship,,100,0,0,0,No,,2004,Yes,2004,10,No,Secondary,Yes ? fu,No,bread,1541,100,100,0,No,No,No,No,No,No,No,No,Yes,40,,,60,,No,,No,19,< 10 Years,10 - 20 Years,NW
588906,2014,Sokoto,'Furniture',"Yes, scr",Large >=,Large >=,Yes,HQ with,Sole Proprietorship,,100,0,0,0,No,,2001,No,2007,10,No,Secondary,Yes ? fu,No,manufacturing of house hold funiture,3610,100,90,10,No,No,No,No,No,No,No,No,No,100,,,100,,,,No,22,< 10 Years,10 - 20 Years,NW
588908,2014,Sokoto,Food,"Yes, scr",Medium >,Small >=,No,HQ with,Sole Proprietorship,,100,0,0,0,No,,1994,Yes,1994,10,No,No Education,Yes ? fu,No,bread,1541,100,100,0,No,No,No,No,No,No,No,No,No,DON?T KN,,,DON?T KN,,No,,No,29,< 10 Years,10 - 20 Years,NW
588909,2014,Sokoto,Food,"Yes, scr",Medium >,Small >=,No,HQ with,Sole Proprietorship,,100,0,0,0,No,,1999,Yes,1999,10,No,Graduate,Yes ? fu,No,PURE WATER,1554,100,100,0,No,No,Yes,No,Yes,No,Yes,No,No,DON?T KN,,,DON?T KN,,No,,No,24,< 10 Years,10 - 20 Years,NW
588910,2014,Sokoto,Textiles,"Yes, scr",Medium >,Small >=,Yes,HQ with,Sole Proprietorship,,100,0,0,0,No,,2001,Yes,2001,13,No,Graduate,Yes ? fu,No,clorth,1712,100,100,0,No,No,No,No,No,Yes,Yes,No,No,30,,,70,100,No,,No,22,< 10 Years,10 - 20 Years,NW
588911,2014,Anambra,Food,"Yes, scr",Medium >,Medium >,Yes,HQ with,Sole Proprietorship,100,100,0,0,0,No,,1977,Yes,1977,32,No,Graduate,Yes ? fu,No,bread production,1541,100,,,,No,No,No,Yes,No,No,No,No,,35,35,,0,DON?T KN,No,No,46,30 - 49 Years,30 - 49 Years,SE
588912,2014,Anambra,Leather,"No, does",Small >=,Small >=,Yes,DOES NOT,Sole Proprietorship,100,100,0,0,0,No,,1996,No,2008,12,No,Secondary,Yes ? fu,No,leather palm sandals and shoes.,1912,80,100,0,No,Yes,Yes,No,No,No,Yes,No,No,90,,,90,60,DON?T KN,,No,27,< 10 Years,10 - 20 Years,SE
588913,2014,Anambra,Leather,"No, does",Small >=,Small >=,Yes,DOES NOT,Sole Proprietorship,100,100,0,0,0,No,,1990,No,1996,14,No,Secondary,Yes ? fu,No,leather shoes,1912,40,100,0,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,50,,,50,0,DON?T KN,,No,33,30 - 49 Years,10 - 20 Years,SE
588917,2014,Anambra,Non Metal Fabrications,"Yes, scr",Small >=,Small >=,Yes,DOES NOT,Sole Proprietorship,100,100,0,0,0,No,,1999,No,1999,21,No,Secondary,Yes ? fu,No,Manufcturing of cement blocks,2695,50,100,0,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,30,,,10,50,DON?T KN,,No,24,< 10 Years,20 - 29 Years,SE
588920,2014,Anambra,Leather,"No, does",Small >=,Small >=,No,DOES NOT,Sole Proprietorship,,100,0,0,0,No,,2000,No,2005,14,No,Secondary,Yes ? fu,No,"Manufacturing/Production of shoes,sandal,etc",1912,100,40,60,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,DON?T KN,,,DON?T KN,0,,,No,23,< 10 Years,10 - 20 Years,SE
588923,2014,Anambra,Wood,"Yes, scr",Small >=,Small >=,Yes,DOES NOT,Sole Proprietorship,100,100,0,0,0,No,,2010,Yes,2000,9,No,Secondary,Yes ? fu,No,Woodwork,2010,100,75,25,No,DON?T KN,DON?T KN,DON?T KN,DON?T KN,DON?T KN,DON?T KN,DON?T KN,DON?T KN,90,,,99,0,DON?T KN,,No,13,< 10 Years,< 10 Years,SE
588925,2014,Anambra,Electronics,"Yes, scr",Small >=,Small >=,No,HQ witho,Sole Proprietorship,100,100,0,0,0,No,,1999,No,1999,21,No,Secondary,Yes ? fu,No,Electronic work,3210,50,100,0,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,50,,,50,0,DON?T KN,,Yes,24,< 10 Years,20 - 29 Years,SE
588927,2014,Anambra,'Furniture',"No, does",Micro <5,Micro <5,No,DOES NOT,Sole Proprietorship,,100,0,0,0,No,,2000,No,2006,30,No,Secondary,Yes ? fu,No,woods and funiture,3610,100,100,0,No,Yes,Yes,No,No,No,No,No,No,60,,,60,100,,,No,23,< 10 Years,30 - 49 Years,SE
588929,2014,Anambra,Garments,"Yes, scr",Micro <5,Small >=,Yes,DOES NOT,Sole Proprietorship,100,100,0,0,0,No,,2001,Yes,1995,13,No,Secondary,Yes ? fu,No,men garment,1810,100,100,0,No,Yes,No,No,No,No,No,Yes,No,89,,,11,0,DON?T KN,,No,22,< 10 Years,10 - 20 Years,SE
588933,2014,Anambra,'Furniture',"No, does",Small >=,Small >=,Yes,DOES NOT,Sole Proprietorship,100,100,0,0,0,No,,,No,1999,20,No,Vocation,Yes ? fu,No,chairs . table.,3610,70,100,0,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,20,,,80,30,No,,No,,NA,20 - 29 Years,SE
588934,2014,Anambra,Leather,"No, does",Small >=,Small >=,No,DOES NOT,Sole Proprietorship,100,100,0,0,0,No,,2000,No,2005,14,No,Secondary,Yes ? fu,No,production of footwears,1912,100,40,60,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,DON?T KN,,,DON?T KN,DON?T KN,DON?T KN,,No,23,< 10 Years,10 - 20 Years,SE
588939,2014,Anambra,Garments,"Yes, scr",Medium >,Small >=,Yes,DOES NOT,Sole Proprietorship,100,100,0,0,0,No,,2000,No,2000,14,No,Secondary,Yes ? fu,No,Garment manufacturing,1810,50,100,0,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,50,,,50,0,DON?T KN,,Yes,23,< 10 Years,10 - 20 Years,SE
588940,2014,Anambra,Garments,"Yes, scr",Micro <5,Micro <5,No,DOES NOT,Sole Proprietorship,,100,0,0,0,No,,2009,No,2011,5,No,Secondary,Yes ? fu,No,Share factory,1810,100,100,0,No,No,No,No,No,No,No,No,No,60,,,60,,No,,No,14,< 10 Years,< 10 Years,SE
588941,2014,Lagos,Transportation,"No, does",Medium >,Medium >,Yes,DOES NOT,Sole Proprietorship,,100,0,0,0,No,,1981,Yes,1981,5,No,Secondary,No,No,Transportation,6022,100,,,,No,No,No,No,No,No,No,No,,DON?T KNOW (,DON?T KN,,0,,No,No,42,30 - 49 Years,< 10 Years,SW
589651,2014,Ogun,Leather,"Yes, scr",Medium >,Small >=,No,DOES NOT,Sole Proprietorship,,100,0,0,0,No,,2003,No,2013,12,No,Secondary,No,No,leather shoe,1920,80,50,50,No,Yes,No,No,No,No,No,No,Yes,100,,,100,DON?T KN,No,,No,20,< 10 Years,10 - 20 Years,SW
588942,2014,Cross river,Food,"Yes, scr",Small >=,Small >=,Yes,DOES NOT,Sole Proprietorship,100,100,0,0,0,No,,,No,2005,11,No,NA,Yes ? fu,No,Baking of bread and Cakes,1541,60,DON?T KN,DON?T KN,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,DON?T KN,,,DON?T KN,0,DON?T KN,,No,,NA,10 - 20 Years,SS
588943,2014,Cross river,'Furniture',"No, does",Small >=,Micro <5,Yes,DOES NOT,Sole Proprietorship,100,100,0,0,0,No,,2002,No,2002,15,No,Primary,Yes ? fu,No,"Chair Furniture, Table Furnitute, and wardrobe",3610,100,DON?T KN,DON?T KN,No,Yes,Yes,No,No,No,Yes,No,No,50,,,5,0,DON?T KN,,No,21,< 10 Years,10 - 20 Years,SS
588944,2014,Cross river,Wood,"Yes, scr",Small >=,Small >=,No,DOES NOT,Sole Proprietorship,100,100,0,0,0,No,,1985,No,1985,30,No,Secondary,Yes ? fu,No,Wooden Doors,2022,70,100,0,No,No,Yes,No,No,No,No,No,No,50,,,30,0,DON?T KN,,No,38,30 - 49 Years,30 - 49 Years,SS
588946,2014,Cross river,Food,"Yes, scr",Medium >,Medium >,No,HQ witho,Sole Proprietorship,100,100,0,0,0,No,,1981,No,1998,,No,Graduate,Yes ? fu,No,Phamaceutical and other foods,1549,75,40,60,No,No,Yes,No,Yes,No,Yes,No,No,65,,,45,0,DON?T KN,,No,42,30 - 49 Years,,SS
588947,2014,Cross river,Non Metal Fabrications,"Yes, scr",Small >=,Medium >,No,HQ witho,Sole Proprietorship,100,100,0,0,0,No,,2005,Yes,1987,20,No,Secondary,Yes ? fu,No,sand criked building block,2695,100,100,0,No,Yes,Yes,No,No,Yes,Yes,No,Yes,65,,,86,100,DON?T KN,,Yes,18,< 10 Years,20 - 29 Years,SS
588948,2014,Cross river,Food,"Yes, scr",Medium >,Medium >,Yes,DOES NOT,Sole Proprietorship,100,100,0,0,0,No,,1999,Yes,1999,7,No,Graduate,Yes ? fu,No,PURE WATER,1554,100,DON?T KN,DON?T KN,No,Yes,Yes,Yes,Yes,No,Yes,No,No,70,,,30,0,DON?T KN,,No,24,< 10 Years,< 10 Years,SS
588949,2014,Cross river,Precisio,"Yes, scr",Medium >,Large >=,Yes,HQ with,Sole Proprietorship,,100,0,0,0,No,,2002,Yes,2002,13,No,Graduate,No,No,syringe,3311,65,100,0,Yes,No,No,No,Yes,No,No,No,No,68,,,87,,,,No,21,< 10 Years,10 - 20 Years,SS
588951,2014,Cross river,Food,"Yes, scr",Medium >,Medium >,Yes,DOES NOT,Sole Proprietorship,100,100,0,0,0,No,,1999,No,2013,5,No,Secondary,No,No,garri processing,1513,80,100,0,No,No,Yes,No,No,No,Yes,No,Yes,88,,,90,0,No,,No,24,< 10 Years,< 10 Years,SS
588956,2014,Lagos,Basic me,"Yes, scr",Large >=,Large >=,Yes,DOES NOT,Sole Proprietorship,100,100,0,0,0,No,,1976,Yes,1976,20,No,Graduate,Yes ? fu,No,"steel pipes,and other steel product",2731,100,100,0,No,No,No,No,No,Yes,Yes,Yes,Yes,100,,,100,0,DON?T KN,,Yes,47,30 - 49 Years,20 - 29 Years,SW
588957,2014,Cross river,Services,"No, scre",Small >=,Medium >,Yes,Establis,Sole Proprietorship,100,100,0,0,0,No,,2004,DON?T KN,2004,2,No,Secondary,No,No,PMS (fuel) selling,5050,80,,,,No,No,Yes,Yes,No,Yes,Yes,No,,89,DON?T KN,,0,DON?T KN,No,DON?T KN,19,< 10 Years,< 10 Years,SS
588958,2014,Enugu,Chemical,"Yes, scr",Small >=,Small >=,No,DOES NOT,Sole Proprietorship,100,100,0,0,0,No,,2012,No,2012,2,No,Graduate,Yes ? fu,No,Paint Producing,2422,60,100,0,No,No,No,No,No,No,No,No,No,0,,,0,0,DON?T KN,,No,11,< 10 Years,< 10 Years,SE
588965,2014,Enugu,Food,"Yes, scr",Medium >,Medium >,No,HQ witho,Sole Proprietorship,100,100,0,0,0,No,,1992,Yes,1992,8,No,Graduate,No,No,Production of bakery like bread,1541,80,100,0,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,50,,,50,100,DON?T KN,,No,31,30 - 49 Years,< 10 Years,SE
588967,2014,Kaduna,'Furniture',"No, does",Small >=,Small >=,No,DOES NOT,Sole Proprietorship,100,100,0,0,0,No,,1992,No,1992,22,No,Graduate,Yes ? fu,No,"furnishing,and interior decoration",3610,100,,,,No,Yes,No,No,No,Yes,No,No,,DON?T KNOW (,DON?T KN,,0,DON?T KN,No,No,31,30 - 49 Years,20 - 29 Years,NW
588970,2014,Kaduna,Food,"Yes, scr",Large >=,Medium >,No,HQ with,Sole Proprietorship,100,100,0,0,0,No,,1999,No,2003,8,No,Secondary,No,No,sales and prodoction of bread,1541,80,100,0,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,20,,,30,100,No,,No,24,< 10 Years,< 10 Years,NW
588973,2014,Kaduna,'Furniture',"No, does",Small >=,Small >=,No,HQ witho,Sole Proprietorship,100,100,0,0,0,No,,1991,No,1991,23,No,Secondary,Yes ? fu,No,wood and furniture production,3610,100,100,0,No,No,No,No,No,No,No,No,No,DON?T KN,,,DON?T KN,0,No,,No,32,30 - 49 Years,20 - 29 Years,NW
588975,2014,Kaduna,Food,"Yes, scr",Medium >,Medium >,No,HQ with,Sole Proprietorship,100,100,0,0,0,No,,,DON?T KN,DON?T KN,,No,NA,No,No,yoghurt production,1520,100,DON?T KN,DON?T KN,No,No,Yes,Yes,Yes,Yes,Yes,DON?T KN,DON?T KN,DON?T KN,,,DON?T KN,0,DON?T KN,,DON?T KN,,NA,,NW
588977,2014,Kaduna,Food,"Yes, scr",Medium >,Large >=,Yes,HQ with,Sole Proprietorship,100,100,0,0,0,No,,2000,Yes,2000,72,No,Graduate,Yes ? fu,No,Bakery,1541,70,,,,Yes,Yes,Yes,Yes,Yes,No,No,Yes,,60,40,,0,DON?T KN,No,No,23,< 10 Years,> 50 Years,NW
588979,2014,Kaduna,Non Metal Fabrications,"Yes, scr",Medium >,Medium >,Yes,HQ with,Sole Proprietorship,100,100,0,0,0,No,,1995,Yes,1995,15,No,Vocation,Yes ? fu,No,producing different kinds of blocks for building.,2695,60,70,30,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,60,,,20,0,DON?T KN,,No,28,< 10 Years,10 - 20 Years,NW
588983,2014,Kaduna,Food,"Yes, scr",Small >=,Small >=,No,Establis,Sole Proprietorship,100,100,0,0,0,No,,,DON?T KN,DON?T KN,,No,NA,No,No,yoghurt production,1520,100,DON?T KN,DON?T KN,No,No,No,Yes,No,No,Yes,No,No,DON?T KN,,,DON?T KN,0,DON?T KN,,DON?T KN,,NA,,NW
588985,2014,Kaduna,Refined,"No, scre",Small >=,Small >=,Yes,DOES NOT,Sole Proprietorship,100,100,0,0,0,No,,1995,Yes,1995,18,No,Secondary,Yes ? fu,No,producing local vaseline.,2320,100,50,50,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,30,,,30,50,DON?T KN,,No,28,< 10 Years,10 - 20 Years,NW
588986,2014,Kaduna,Non Metal Fabrications,"Yes, scr",Medium >,Medium >,No,HQ with,Sole Proprietorship,100,100,0,0,0,No,,1999,Yes,1987,15,No,Graduate,Yes ? fu,No,production and sales of cement block,2695,90,100,0,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,40,,,60,0,DON?T KN,,No,24,< 10 Years,10 - 20 Years,NW
588987,2014,Kaduna,'Furniture',"No, does",Medium >,Medium >,No,HQ with,Sole Proprietorship,100,100,0,0,0,No,,1998,Yes,1998,,No,Secondary,No,No,Office chars,3610,50,50,50,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,DON?T KN,,,DON?T KN,90,DON?T KN,,No,25,< 10 Years,,NW
588988,2014,Kaduna,Publishings,"No, does",Small >=,Small >=,No,DOES NOT,Sole Proprietorship,100,100,0,0,0,No,,2000,No,2012,12,No,Secondary,Yes ? fu,No,printing of almanac or calender,2221,80,DON?T KN,DON?T KN,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,DON?T KN,,,DON?T KN,0,DON?T KN,,No,23,< 10 Years,10 - 20 Years,NW
588990,2014,Kaduna,Metal Fabrications,"No, scre",Medium >,Small >=,Yes,HQ with,Sole Proprietorship,100,100,0,0,0,No,,2004,Yes,2000,15,No,Vocation,Yes ? fu,No,"Aliminiun doors,windows etc.",2811,80,100,0,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,50,,,30,0,DON?T KN,,Yes,19,< 10 Years,10 - 20 Years,NW
588993,2014,Kano,Retail,"No, does",Small >=,Small >=,No,DOES NOT,Sole Proprietorship,,100,0,0,0,No,,2005,No,2006,15,No,Vocation,Yes ? fu,No,wholesale food consumables,5211,100,,,,Yes,Yes,Yes,Yes,Yes,Yes,No,No,,100,100,,0,,No,No,18,< 10 Years,10 - 20 Years,NW
588996,2014,Kano,Metal Fabrications,"No, does",Small >=,Small >=,No,HQ with,Sole Proprietorship,100,100,0,0,0,No,,1993,No,1997,11,No,Secondary,No,No,buying and selling of metal or construction of metals,2811,50,75,25,No,Yes,Yes,No,No,Yes,Yes,No,No,20,,,30,0,DON?T KN,,No,30,30 - 49 Years,10 - 20 Years,NW
588997,2014,Kano,'Furniture',"No, scre",Small >=,Small >=,Yes,DOES NOT,Sole Proprietorship,100,100,0,0,0,No,,1992,No,2000,20,No,Vocation,Yes ? fu,No,furniture making,3610,100,100,0,No,Yes,Yes,Yes,Yes,No,Yes,No,No,80,,,20,0,No,,No,31,30 - 49 Years,20 - 29 Years,NW
589003,2014,Kano,Food,"Yes, scr",Small >=,Small >=,Yes,DOES NOT,Sole Proprietorship,100,100,0,0,0,No,,1997,No,1997,5,No,Secondary,Yes ? fu,No,snacks and  bread.,1541,70,100,0,No,Yes,No,No,No,No,Yes,No,No,80,,,80,0,DON?T KN,,No,26,< 10 Years,< 10 Years,NW
589004,2014,Kano,Food,"Yes, scr",Medium >,Medium >,Yes,HQ with,Sole Proprietorship,100,100,0,0,0,No,,2001,No,2003,13,No,Vocation,Yes ? fu,No,Manufctuing of youghot,1520,100,100,0,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,50,,,50,40,DON?T KN,,No,22,< 10 Years,10 - 20 Years,NW
589005,2014,Kano,Garments,"Yes, scr",Micro <5,Micro <5,Yes,DOES NOT,Sole Proprietorship,100,100,0,0,0,No,,2000,No,2000,20,No,Secondary,Yes ? fu,No,sewing,1810,5,,,,Yes,Yes,Yes,No,No,Yes,No,No,,90,10,,50,DON?T KN,No,No,23,< 10 Years,20 - 29 Years,NW
589010,2014,Kano,Food,"Yes, scr",Small >=,Small >=,Yes,DOES NOT,Sole Proprietorship,100,100,0,0,0,No,,2011,Yes,2011,7,No,Graduate,Yes ? fu,No,Bread Baking,1541,100,,,,Yes,Yes,Yes,No,Yes,Yes,No,Yes,,75,25,,100,No,No,No,12,< 10 Years,< 10 Years,NW
589011,2014,Kano,Garments,"Yes, scr",Micro <5,Small >=,Yes,DOES NOT,Sole Proprietorship,100,100,0,0,0,No,,1993,No,2011,9,No,Secondary,Yes ? Pa,No,fashion and designer,1810,100,100,0,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,70,,,70,0,No,,No,30,30 - 49 Years,< 10 Years,NW
589012,2014,Kano,Metal Fabrications,"Yes, scr",Small >=,Small >=,No,DOES NOT,Sole Proprietorship,,100,0,0,0,No,,1987,Yes,1987,35,No,Vocation,Yes ? fu,No,Manufacting frabricated metals,2811,100,100,0,No,No,Yes,No,No,No,No,No,No,100,,,100,,,,No,36,30 - 49 Years,30 - 49 Years,NW
589015,2014,Lagos,Non Metal Fabrications,"Yes, scr",Small >=,Small >=,Yes,DOES NOT,Sole Proprietorship,100,100,0,0,0,No,,2001,No,2001,25,No,Secondary,Yes ? fu,No,concrete block manufacturing,2695,100,100,0,No,No,Yes,No,No,Yes,Yes,No,Yes,100,,,0,0,DON?T KN,,No,22,< 10 Years,20 - 29 Years,SW
589017,2014,Lagos,'Furniture',"No, does",Small >=,Large >=,No,HQ with,Sole Proprietorship,100,100,0,0,0,No,,1989,No,1990,35,No,Secondary,Yes ? fu,No,"furnitures,wallbracket, lighting",3610,95,0,100,No,No,No,No,No,No,No,No,No,100,,,0,100,DON?T KN,,No,34,30 - 49 Years,30 - 49 Years,SW
589018,2014,Lagos,Metal Fabrications,"Yes, scr",Small >=,Small >=,Yes,DOES NOT,Sole Proprietorship,100,100,0,0,0,No,,1999,No,1999,15,No,Secondary,Yes ? fu,No,"Welding/Construction of rolling doors,Burglary proof and suppliers of welding materials.",2811,100,100,0,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,85,,,85,,No,,No,24,< 10 Years,10 - 20 Years,SW
589637,2014,Ogun,IT,"No, does",Micro <5,Small >=,No,DOES NOT,Sole Proprietorship,,100,0,0,0,No,,2014,Yes,2014,6,No,Secondary,Yes ? fu,No,computer training,7239,DON?T KN,,,,No,No,No,No,No,No,No,DON?T KN,,DON?T KNOW (,DON?T KN,,,,No,No,9,10 - 29 Years,< 10 Years,SW
589020,2014,Abia,Wholesales,"No, scre",Small >=,Small >=,No,DOES NOT,Sole Proprietorship,100,100,0,0,0,No,,1999,No,1999,15,No,Secondary,Yes ? fu,No,Building materials,5143,100,,,,No,No,No,No,No,No,No,No,,100,100,,0,DON?T KN,No,No,24,< 10 Years,10 - 20 Years,SE
589022,2014,Abia,Wholesales,"No, scre",Small >=,Small >=,No,Establis,Sole Proprietorship,100,100,0,0,0,No,,2005,No,DON?T KN,10,No,Graduate,Yes ? fu,No,Sales of Alummuiun zinc,5142,100,,,,No,No,No,No,No,No,No,No,,100,100,,0,No,No,No,18,< 10 Years,10 - 20 Years,SE
589025,2014,Abuja,Retail,"Yes, scr",Small >=,Small >=,No,HQ with,Sole Proprietorship,100,100,0,0,0,No,,2000,Yes,2000,14,No,Vocation,Yes ? fu,No,electrical goods,5239,90,,,,No,No,No,No,No,No,No,No,,60,80,,0,No,No,No,23,< 10 Years,10 - 20 Years,NC
589027,2014,Abuja,Retail,"Yes, scr",Small >=,Small >=,No,DOES NOT,Sole Proprietorship,100,100,0,0,0,No,,1997,No,1998,17,No,Vocation,Yes ? fu,No,retail services,5219,100,,,,No,No,Yes,Yes,Yes,No,No,No,,100,100,,0,DON?T KN,No,No,26,< 10 Years,10 - 20 Years,NC
589028,2014,Abuja,Retail,"Yes, scr",Small >=,Small >=,Yes,Establis,Sole Proprietorship,100,100,0,0,0,No,,2002,No,2005,12,No,Graduate,Yes ? fu,No,retail sales,5219,100,,,,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,,100,0,,0,DON?T KN,No,Yes,21,< 10 Years,10 - 20 Years,NC
