UNITID,CONTROL,SAT_AVG,UGDS,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,TUITIONFEE_IN,TUITIONFEE_OUT,TUITFTE,INEXPFTE,AVGFACSAL,PFTFAC,PCTPELL,C150_4,PFTFTUG1_EF,RET_FT4,RET_PT4,C200_4_POOLED,PCTFLOAN
195003,2,1328,12623,0.6529,0.0435,0.0806,0.1023,0.0012,0.0004,0.041,0.063,0.0151,45890,45890,22947,20011,10571,0.678,0.2925,0.6652,0.8663,0.8845,0,0.7085,0.5993
195173,2,1027,2495,0.2994,0.2148,0.2669,0.0481,0.004,0.0156,0.0337,0.0782,0.0393,26298,26298,13713,9216,8948,0.2527,0.4697,0.5788,0.7368,0.7576,0.6667,0.5134,0.4206
195243,2,1028,1148,0.4983,0.1115,0.2352,0.0253,0.0017,0,0.0148,0.0636,0.0497,33050,33050,14031,8678,9350,0.3611,0.2191,0.5843,0.6515,0.7148,0.5,0.5777,0.3673
195809,2,1202,11689,0.4174,0.1428,0.1458,0.1592,0.0042,0.0018,0.0514,0.0451,0.0323,43000,43000,20947,11509,12500,0.4406,0.2659,0.6279,0.9154,0.8178,0.3571,0.5989,0.3684
196413,2,1291,14854,0.5604,0.065,0.0954,0.0646,0.0057,0.0007,0.0339,0.1459,0.0285,53849,53849,27650,18538,12051,0.6685,0.1785,0.8268,0.9157,0.9182,0.5,0.8343,0.4203
198136,2,1132,3948,0.5843,0.1502,0.0975,0.0241,0.0038,0.0023,0.0522,0.02,0.0656,34630,34630,15697,11892,8881,0.48,0.343,0.5476,0.6366,0.7577,0.4286,0.5248,0.4922
198613,2,1070,1357,0.5284,0.241,0.1223,0.0251,0.0022,0.0007,0.0435,0.014,0.0228,38530,38530,11970,8876,7011,0.5642,0.4103,0.5587,0.8444,0.6648,0,0.577,0.7224
198756,2,888,1429,0.0147,0.8265,0.0217,0.0028,0.0063,0.0014,0.0035,0.0105,0.1127,18784,18784,11647,8064,6419,0.557,0.7419,0.4914,0.8265,0.6562,1,0.4705,0.8608
198969,2,1040,1625,0.4025,0.1772,0.0855,0.0105,0.0117,0.0025,0.0178,0.0966,0.1957,34522,34522,17770,11151,7161,0.5304,0.387,0.4544,0.722,0.5811,0.2667,0.3842,0.5198
199032,2,1042,740,0.6432,0.1446,0.0689,0.0122,0.0095,0.0095,0.023,0.0351,0.0541,27950,27950,11562,5880,5394,0.2129,0.4025,0.3398,0.6667,0.6667,1,0.3564,0.766
